Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Gender,Clicked on Ad,Hour,Day,Month,Year,Interaction
61.22,25.0,50506.44,194.95,0,No,7,3,1,2016,11934.839
60.53,33.0,68094.85,162.03,0,No,11,10,6,2016,9807.6759
90.97,31.0,38817.4,171.23,0,No,3,10,6,2016,15576.793099999999
41.73,28.0,71222.4,217.37,0,No,16,15,2,2016,9070.8501
74.59,27.0,36884.23,214.42,0,No,4,3,7,2016,15993.5878
47.48,29.0,57545.56,216.49,0,No,16,16,1,2016,10278.9452
40.47,35.0,54429.17,236.87,0,Yes,3,21,6,2016,9586.1289
54.88,21.0,61009.1,157.04,0,No,15,17,1,2016,8618.3552
82.07,41.0,57846.68,187.76,1,Yes,11,13,5,2016,15409.463199999998
59.22,40.0,40468.53,140.46,0,Yes,1,1,7,2016,8318.0412
82.07,22.0,51363.16,180.47,1,No,23,31,5,2016,14811.1729
57.24,33.0,49101.67,120.75,1,Yes,6,24,3,2016,6911.7300000000005
44.33,39.0,48335.2,258.62,0,Yes,6,15,3,2016,11464.6246
41.73,31.0,59886.58,207.17,1,No,14,30,3,2016,8645.204099999999
71.03,31.0,40182.84,207.17,0,Yes,6,31,1,2016,14715.2851
89.05,55.0,38260.89,187.76,0,Yes,9,21,4,2016,16720.028
55.6,35.0,73889.99,236.87,0,No,6,11,6,2016,13169.972
42.04,37.0,67132.46,139.32,0,No,1,21,5,2016,5857.0127999999995
43.49,37.0,51691.55,217.37,0,Yes,17,17,6,2016,9453.4213
51.24,36.0,32549.95,109.07,1,No,4,27,4,2016,5588.7468
68.01,33.0,41547.62,204.02,1,No,11,9,7,2016,13875.400200000002
46.61,29.0,53431.35,227.37,0,Yes,21,12,5,2016,10597.7157
82.07,43.0,52563.22,121.28,0,Yes,21,17,4,2016,9953.4496
63.45,32.0,57691.95,178.92,1,No,20,31,3,2016,11352.474
36.56,46.0,40468.53,229.12,0,Yes,8,4,4,2016,8376.6272
51.56,29.0,56113.37,208.05,0,No,22,19,6,2016,10727.058
52.84,42.0,60514.05,199.43,1,Yes,16,15,2,2016,10537.881200000002
47.74,52.0,32635.7,186.37,1,Yes,8,19,7,2016,8897.3038
65.77,34.0,59785.94,168.34,1,No,8,27,2,2016,11071.7218
56.39,46.0,40468.53,253.48,0,No,14,6,4,2016,14293.7372
76.64,31.0,56180.93,207.17,0,No,14,21,6,2016,15877.5088
57.99,34.0,40763.13,168.34,1,No,14,8,2,2016,9762.036600000001
55.92,42.0,60514.05,236.87,0,No,11,6,4,2016,13245.770400000001
70.09,45.0,59610.81,227.73,0,Yes,14,8,4,2016,15961.5957
72.23,30.0,57877.15,244.91,1,No,10,8,5,2016,17689.8493
61.22,28.0,39799.73,212.87,1,No,3,8,7,2016,13031.9014
55.6,35.0,42993.48,221.18,1,No,13,18,3,2016,12297.608
59.05,33.0,43974.49,135.67,1,Yes,6,24,3,2016,8011.313499999999
55.79,22.0,21644.91,136.21,0,No,4,3,7,2016,7599.155900000001
68.01,33.0,49101.67,204.27,1,Yes,17,6,2,2016,13892.402700000002
59.51,40.0,66574.0,232.78,1,No,13,18,3,2016,13852.737799999999
81.32,49.0,39031.89,195.69,1,Yes,20,4,4,2016,15913.510799999998
63.45,45.0,59886.58,187.76,1,Yes,16,5,2,2016,11913.372
72.19,39.0,58287.86,225.99,1,No,15,7,4,2016,16314.2181
53.68,37.0,23936.86,109.29,1,No,3,8,7,2016,5866.6872
41.73,28.0,67301.39,120.49,0,No,14,21,6,2016,5028.047699999999
82.07,43.0,32635.7,198.45,1,Yes,21,3,4,2016,16286.791499999998
43.49,37.0,23936.86,195.69,0,No,16,5,1,2016,8510.5581
48.03,40.0,63394.41,221.98,0,Yes,16,13,7,2016,10661.6994
49.42,45.0,69428.73,252.36,0,No,11,6,4,2016,12471.631200000002
53.92,28.0,70492.6,221.79,1,No,5,17,3,2016,11958.916799999999
73.1,26.0,56694.12,131.68,0,No,13,15,5,2016,9625.807999999999
54.08,31.0,56180.93,240.64,1,No,21,2,6,2016,13013.811199999998
46.61,50.0,49957.0,122.31,0,Yes,18,4,4,2016,5700.8691
34.3,34.0,34191.23,187.09,1,Yes,18,5,4,2016,6417.187
55.6,39.0,37334.78,209.91,1,Yes,9,8,1,2016,11670.996000000001
82.07,55.0,57868.44,187.76,1,Yes,9,21,4,2016,15409.463199999998
56.39,46.0,69646.35,198.5,1,No,21,12,6,2016,11193.415
54.97,29.0,53431.35,217.1,1,No,0,14,1,2016,11933.987
75.55,39.0,48335.2,258.62,0,Yes,22,8,5,2016,19538.740999999998
44.78,25.0,50506.44,241.03,1,No,2,28,4,2016,10793.323400000001
73.19,33.0,74535.94,120.75,0,No,9,14,1,2016,8837.6925
54.88,50.0,39616.0,226.79,1,Yes,21,3,4,2016,12446.235200000001
55.6,36.0,18368.57,115.26,1,Yes,16,3,1,2016,6408.456
43.49,37.0,66187.58,190.17,0,Yes,19,10,2,2016,8270.4933
74.59,42.0,60514.05,238.58,0,Yes,11,6,4,2016,17795.682200000003
43.49,37.0,53058.91,230.52,0,No,8,12,2,2016,10025.3148
50.08,29.0,69718.19,120.06,0,No,16,5,1,2016,6012.6048
50.08,40.0,57330.43,140.46,0,Yes,9,11,6,2016,7034.236800000001
50.19,36.0,32549.95,141.52,1,Yes,16,3,1,2016,7102.888800000001
73.93,33.0,43974.49,196.77,0,Yes,21,12,5,2016,14547.206100000001
39.3,29.0,53431.35,158.56,0,No,0,14,1,2016,6231.407999999999
55.6,54.0,53188.69,182.2,0,Yes,23,16,1,2016,10130.32
74.63,27.0,66815.54,214.42,0,No,1,18,7,2016,16002.164599999998
83.97,41.0,57846.68,227.63,1,No,9,8,1,2016,19114.091099999998
68.01,33.0,56782.18,227.37,1,Yes,22,14,7,2016,15463.433700000001
56.39,46.0,58966.22,253.48,1,No,2,18,1,2016,14293.7372
80.3,37.0,23936.86,181.02,0,Yes,22,8,5,2016,14535.906
61.22,36.0,50628.31,115.26,1,No,8,20,6,2016,7056.2172
47.74,32.0,69481.85,178.92,1,No,3,9,1,2016,8541.6408
88.04,38.0,64564.07,206.98,1,Yes,19,15,1,2016,18222.5192
59.59,34.0,59785.94,203.44,0,Yes,20,11,2,2016,12122.9896
40.04,34.0,59785.94,160.03,0,Yes,4,27,4,2016,6407.6012
33.33,25.0,50671.6,105.86,1,No,17,8,7,2016,3528.3138
89.05,49.0,64564.07,187.76,1,Yes,8,24,6,2016,16720.028
84.0,36.0,70592.81,141.52,1,No,8,20,6,2016,11887.68
52.68,32.0,69481.85,118.27,1,Yes,21,6,4,2016,6230.4636
75.84,45.0,70053.27,157.04,1,Yes,1,17,7,2016,11909.9136
81.59,45.0,45716.48,174.88,0,Yes,0,30,6,2016,14268.4592
59.05,50.0,43974.49,123.13,0,Yes,3,3,6,2016,7270.826499999999
86.06,35.0,51119.93,143.79,1,Yes,10,4,3,2016,12374.5674
41.73,28.0,71222.4,204.79,0,No,2,20,3,2016,8545.8867
40.47,35.0,25603.93,236.87,0,No,1,18,7,2016,9586.1289
61.84,38.0,57868.44,170.13,0,Yes,19,15,1,2016,10520.8392
59.51,30.0,57877.15,219.94,0,No,10,29,6,2016,13088.6294
79.91,30.0,57877.15,111.94,1,No,13,18,3,2016,8945.125399999999
39.3,29.0,53431.35,158.56,0,Yes,19,3,2,2016,6231.407999999999
44.4,32.0,55424.24,172.83,0,No,22,28,4,2016,7673.652
54.43,37.0,53058.91,258.62,0,Yes,14,20,6,2016,14076.6866
61.22,45.0,60315.19,137.24,1,Yes,17,10,7,2016,8401.8328
59.59,33.0,36752.24,115.35,0,Yes,21,12,5,2016,6873.7065
79.6,23.0,62784.85,146.8,0,Yes,14,14,1,2016,11685.28
37.0,32.0,55424.24,219.94,0,No,22,28,4,2016,8137.78
55.6,35.0,54286.1,236.87,0,Yes,14,20,6,2016,13169.972
40.04,23.0,25739.09,172.81,0,No,7,20,3,2016,6919.3124
64.75,25.0,50506.44,176.28,0,No,2,28,4,2016,11414.13
51.56,45.0,74903.41,124.67,0,Yes,12,5,3,2016,6427.9852
88.04,44.0,50723.67,120.63,0,No,22,1,3,2016,10620.2652
70.58,28.0,72948.76,230.52,0,Yes,20,13,1,2016,16270.1016
81.22,29.0,56113.37,216.49,0,No,3,12,1,2016,17583.3178
79.54,25.0,50671.6,241.03,1,No,6,11,3,2016,19171.5262
42.04,37.0,67132.46,201.58,0,No,22,8,1,2016,8474.423200000001
82.07,41.0,57846.68,126.39,0,Yes,15,27,2,2016,10372.827299999999
44.33,39.0,38067.08,124.44,0,No,20,7,3,2016,5516.4252
55.6,24.0,57691.95,182.2,1,No,10,12,7,2016,10130.32
65.59,39.0,59457.52,222.25,1,No,16,3,1,2016,14577.3775
57.99,49.0,45632.51,168.34,1,No,0,11,3,2016,9762.036600000001
52.68,35.0,25603.93,236.87,0,No,1,18,7,2016,12478.3116
50.08,40.0,73882.91,132.63,1,No,8,20,6,2016,6642.1104
65.07,34.0,59785.94,160.03,0,Yes,18,5,4,2016,10413.1521
80.3,52.0,33951.63,130.86,1,Yes,2,16,6,2016,10508.058
70.44,34.0,59785.94,160.03,0,Yes,9,20,2,2016,11272.5132
70.39,27.0,39193.45,203.9,1,No,21,23,3,2016,14352.521
72.23,40.0,41232.89,120.37,0,No,7,2,5,2016,8694.3251
50.08,36.0,29398.61,140.46,0,No,5,6,7,2016,7034.236800000001
42.04,37.0,53058.91,181.02,0,No,19,10,2,2016,7610.080800000001
79.52,38.0,64564.07,122.04,1,Yes,7,13,2,2016,9704.6208
78.7,32.0,55424.24,172.83,0,Yes,21,9,6,2016,13601.721000000001
51.24,36.0,29398.61,141.52,0,Yes,7,12,3,2016,7251.484800000001
79.52,41.0,57846.68,259.76,0,No,20,5,7,2016,20656.115199999997
70.39,54.0,73049.3,117.33,1,Yes,5,1,1,2016,8258.8587
66.08,33.0,77988.71,215.18,0,No,20,17,6,2016,14219.0944
61.22,31.0,56180.93,207.17,0,No,9,11,7,2016,12682.9474
67.56,28.0,71222.4,204.79,0,No,21,6,5,2016,13835.6124
83.71,38.0,57868.44,130.83,1,Yes,7,13,2,2016,10951.7793
72.23,33.0,57868.44,191.82,1,Yes,17,6,2,2016,13855.1586
80.3,49.0,45632.51,113.8,0,Yes,4,27,4,2016,9138.14
86.06,35.0,25603.93,109.07,0,Yes,2,29,6,2016,9386.564199999999
70.58,31.0,58235.21,207.17,0,No,22,26,2,2016,14622.058599999998
54.97,33.0,55984.89,204.27,1,Yes,22,14,7,2016,11228.7219
55.6,39.0,38067.08,258.62,0,Yes,8,12,2,2016,14379.272
79.54,25.0,50506.44,241.03,1,No,13,18,3,2016,19171.5262
43.49,37.0,23936.86,181.02,0,No,22,8,1,2016,7872.559800000001
56.39,40.0,62669.59,117.3,1,Yes,6,23,3,2016,6614.547
76.77,36.0,29398.61,222.25,0,No,19,26,2,2016,17062.1325
40.47,27.0,14548.06,190.17,0,Yes,19,10,2,2016,7696.179899999999
78.36,34.0,40183.75,160.03,0,No,0,11,3,2016,12539.9508
43.49,37.0,61172.07,181.02,1,No,21,23,3,2016,7872.559800000001
40.04,34.0,20592.99,168.34,0,No,0,11,3,2016,6740.3336
59.36,38.0,39031.89,195.69,0,No,20,4,4,2016,11616.1584
40.04,23.0,40135.06,222.87,0,Yes,14,14,1,2016,8923.7148
41.73,28.0,51501.38,120.49,1,No,22,8,4,2016,5028.047699999999
66.12,28.0,59448.44,230.52,0,Yes,14,20,6,2016,15241.982400000003
84.73,36.0,76003.47,140.46,0,Yes,14,13,5,2016,11901.1758
43.6,39.0,75044.35,236.87,0,No,4,12,5,2016,10327.532000000001
42.04,37.0,53058.91,129.31,0,Yes,7,5,6,2016,5436.1924
51.24,36.0,61610.05,124.44,0,Yes,16,3,1,2016,6376.3056
71.84,39.0,37334.78,190.75,1,No,3,8,7,2016,13703.480000000001
84.73,26.0,60997.84,131.68,0,Yes,13,24,5,2016,11157.246400000002
43.49,37.0,75180.2,181.02,0,Yes,19,10,2,2016,7872.559800000001
70.92,31.0,27262.51,217.37,0,Yes,21,6,5,2016,15415.8804
80.3,37.0,67132.46,177.55,0,No,21,13,7,2016,14257.265000000001
52.68,32.0,55424.24,178.92,1,No,2,18,1,2016,9425.505599999999
69.77,35.0,66541.05,226.54,1,No,13,29,6,2016,15805.695799999998
80.47,33.0,52736.33,113.12,1,No,6,24,3,2016,9102.7664
72.55,31.0,66348.95,124.44,0,No,13,29,6,2016,9028.122
51.87,49.0,39031.89,195.69,1,Yes,18,5,4,2016,10150.4403
81.98,22.0,63430.33,136.21,0,No,7,29,1,2016,11166.4958
40.17,26.0,63430.33,140.46,0,No,18,8,3,2016,5642.278200000001
65.65,41.0,39799.73,156.48,0,No,20,5,1,2016,10272.912
56.16,33.0,43974.49,196.77,0,Yes,20,27,2,2016,11050.6032
47.74,40.0,73882.91,221.98,1,No,8,20,6,2016,10597.3252
78.79,36.0,73882.91,214.33,1,No,8,20,6,2016,16887.0607
51.56,27.0,14548.06,193.29,1,No,11,19,3,2016,9966.0324
56.39,19.0,58966.22,163.0,1,No,15,3,2,2016,9191.57
82.07,35.0,50723.67,259.76,0,No,16,1,4,2016,21318.5032
43.49,37.0,23936.86,109.29,1,Yes,14,20,6,2016,4753.0221
56.16,26.0,53336.76,131.68,1,No,19,8,1,2016,7395.1488
41.73,28.0,32252.38,217.37,0,No,12,4,5,2016,9070.8501
59.51,32.0,55424.24,172.83,1,No,10,8,5,2016,10285.1133
78.7,46.0,33951.63,221.98,1,Yes,18,15,5,2016,17469.826
47.74,36.0,50628.31,126.39,1,Yes,23,31,5,2016,6033.8586000000005
55.6,35.0,73889.99,225.58,1,Yes,2,26,1,2016,12542.248000000001
75.15,33.0,46868.53,204.02,1,No,4,2,3,2016,15332.103000000003
82.79,35.0,73889.99,226.54,1,Yes,16,11,2,2016,18755.246600000002
49.21,30.0,58677.69,172.83,0,No,10,8,5,2016,8504.964300000001
56.39,19.0,40468.53,193.29,0,Yes,23,28,2,2016,10899.623099999999
79.52,25.0,50671.6,241.03,0,Yes,0,10,6,2016,19166.705599999998
75.71,51.0,41547.62,111.94,1,No,10,8,5,2016,8474.9774
83.71,44.0,64564.07,187.76,0,Yes,19,21,4,2016,15717.389599999999
47.48,27.0,66815.54,120.75,0,No,1,21,5,2016,5733.21
86.06,32.0,55424.24,178.92,1,No,20,31,3,2016,15397.8552
33.33,45.0,74903.41,174.88,0,Yes,12,5,3,2016,5828.7504
81.98,22.0,52340.1,128.62,0,No,22,5,7,2016,10544.267600000001
68.88,42.0,60514.05,236.87,0,Yes,11,6,4,2016,16315.605599999999
55.6,35.0,42993.48,221.18,1,Yes,13,18,3,2016,12297.608
84.98,24.0,52252.91,178.92,1,No,13,18,3,2016,15204.6216
56.39,60.0,69646.35,218.61,0,Yes,20,16,3,2016,12327.4179
85.84,38.0,70005.51,197.93,0,Yes,14,19,5,2016,16990.3112
88.04,41.0,64828.0,236.87,0,Yes,14,19,5,2016,20854.0348
59.22,40.0,57594.7,244.91,1,Yes,13,18,3,2016,14503.5702
43.49,27.0,39193.45,131.29,1,No,21,23,3,2016,5709.8021
65.65,30.0,58677.69,219.94,0,No,20,5,1,2016,14439.061000000002
50.63,31.0,61067.58,236.87,1,No,23,4,7,2016,11992.7281
40.47,40.0,38067.08,140.46,0,Yes,20,17,2,2016,5684.416200000001
40.17,25.0,59886.58,165.52,1,No,6,11,3,2016,6648.938400000001
75.42,30.0,57877.15,111.94,1,No,10,8,5,2016,8442.5148
76.58,33.0,44174.25,120.75,1,No,1,7,6,2016,9247.035
41.73,28.0,71222.4,204.79,0,No,18,30,5,2016,8545.8867
76.81,28.0,71222.4,217.37,0,Yes,12,4,5,2016,16696.189700000003
75.42,26.0,31265.75,140.83,1,No,10,8,5,2016,10621.3986
88.04,44.0,48335.2,187.76,0,No,13,15,5,2016,16530.3904
65.59,47.0,39031.89,195.69,1,Yes,6,22,3,2016,12835.3071
88.04,38.0,70582.55,206.98,1,No,22,4,4,2016,18222.5192
40.47,29.0,56113.37,112.72,0,No,1,3,6,2016,4561.7784
73.72,36.0,32549.95,109.07,1,Yes,4,27,4,2016,8040.640399999999
80.99,26.0,44248.52,221.98,1,No,23,28,2,2016,17978.1602
46.61,41.0,55121.65,126.39,0,Yes,8,27,5,2016,5891.0379
60.23,22.0,61009.1,198.45,1,No,17,6,2,2016,11952.643499999998
35.61,37.0,67132.46,258.62,0,Yes,4,23,7,2016,9209.4582
81.58,41.0,57846.68,126.39,1,Yes,23,31,5,2016,10310.8962
37.0,30.0,58677.69,219.94,0,No,20,5,1,2016,8137.78
59.88,26.0,46033.73,207.17,1,No,14,21,6,2016,12405.3396
54.43,37.0,61228.96,258.62,0,Yes,22,8,5,2016,14076.6866
41.73,31.0,61840.26,207.17,1,No,2,16,6,2016,8645.204099999999
55.6,35.0,42993.48,221.18,1,Yes,2,26,1,2016,12297.608
41.73,28.0,71222.4,221.94,0,Yes,21,6,5,2016,9261.556199999999
41.73,28.0,67132.46,217.37,0,No,22,8,1,2016,9070.8501
41.73,28.0,67301.39,217.37,1,Yes,10,14,2,2016,9070.8501
78.64,39.0,49282.87,258.62,1,Yes,7,9,2,2016,20337.876800000002
62.26,32.0,70505.06,221.21,0,Yes,13,24,5,2016,13772.5346
51.24,36.0,61610.05,140.46,0,Yes,7,3,2,2016,7197.170400000001
52.84,26.0,56694.12,131.68,0,No,13,15,5,2016,6957.971200000001
78.64,41.0,50628.31,144.77,1,Yes,13,26,4,2016,11384.712800000001
41.73,28.0,71222.4,217.37,0,No,0,30,6,2016,9070.8501
80.3,29.0,66504.16,173.43,1,Yes,16,5,1,2016,13926.429
71.03,39.0,38067.08,207.17,0,No,23,7,6,2016,14715.2851
80.3,49.0,45632.51,113.8,0,Yes,20,4,4,2016,9138.14
62.26,25.0,50671.6,138.71,1,No,2,28,4,2016,8636.0846
51.24,36.0,76003.47,203.9,1,Yes,16,3,1,2016,10447.836000000001
55.6,35.0,50506.44,214.42,0,No,2,29,6,2016,11921.752
71.84,39.0,56180.93,165.52,1,No,16,14,1,2016,11890.956800000002
71.28,36.0,29398.61,222.25,0,No,19,26,2,2016,15841.98
62.42,22.0,63363.04,245.89,1,No,16,9,4,2016,15348.4538
83.71,38.0,57868.44,130.83,1,Yes,2,22,4,2016,10951.7793
71.28,54.0,37908.29,182.2,0,Yes,19,26,2,2016,12987.215999999999
76.87,43.0,66873.9,198.45,1,No,9,17,6,2016,15254.8515
68.88,42.0,59243.46,143.13,1,Yes,11,6,4,2016,9858.794399999999
76.06,39.0,37334.78,258.62,0,Yes,22,8,5,2016,19670.6372
51.24,36.0,59240.24,128.62,0,No,20,13,3,2016,6590.4888
43.6,35.0,51119.93,109.07,1,Yes,13,29,6,2016,4755.452
56.3,29.0,61172.07,216.49,1,No,2,26,1,2016,12188.387
79.81,34.0,34191.23,168.34,1,No,0,11,3,2016,13435.215400000001
56.34,40.0,31265.75,232.78,1,No,10,8,5,2016,13114.825200000001
46.14,26.0,56694.12,190.17,0,No,16,15,2,2016,8774.4438
34.78,30.0,66359.32,229.99,1,No,19,20,1,2016,7999.052200000001
73.49,26.0,53336.76,131.68,1,No,6,11,3,2016,9677.163199999999
55.55,39.0,48335.2,124.44,0,No,7,3,1,2016,6912.642
76.87,31.0,56180.93,207.17,0,No,14,21,6,2016,15925.1579
85.62,25.0,50506.44,140.46,0,No,7,3,1,2016,12026.185200000002
46.14,28.0,39799.73,217.37,0,No,12,4,5,2016,10029.4518
39.36,42.0,57868.44,120.75,1,Yes,13,19,2,2016,4752.72
41.73,34.0,40763.13,160.03,1,Yes,8,27,2,2016,6678.0518999999995
41.73,31.0,42078.89,171.23,0,No,14,21,6,2016,7145.427899999999
52.84,23.0,25739.09,172.81,0,Yes,14,14,1,2016,9131.280400000001
63.45,31.0,61840.26,207.17,1,No,17,16,1,2016,13144.9365
81.1,31.0,58235.21,207.17,1,No,11,19,5,2016,16801.486999999997
65.77,34.0,59785.94,160.03,0,Yes,4,27,4,2016,10525.1731
43.49,37.0,75180.2,195.69,1,No,20,4,4,2016,8510.5581
59.59,22.0,31215.88,121.07,0,No,4,3,7,2016,7214.5613
72.23,30.0,50671.6,244.91,1,No,4,27,4,2016,17689.8493
46.61,55.0,58633.63,187.76,0,Yes,9,21,4,2016,8751.4936
72.97,25.0,50671.6,241.03,1,No,13,18,3,2016,17587.9591
60.23,44.0,60575.99,139.34,1,No,21,3,4,2016,8392.448199999999
80.51,55.0,55015.08,157.04,0,Yes,9,21,4,2016,12643.2904
39.36,44.0,66025.11,231.48,1,No,11,19,5,2016,9111.0528
36.08,35.0,54324.73,167.42,0,No,20,5,1,2016,6040.513599999999
76.2,33.0,47929.83,178.69,1,No,5,9,2,2016,13616.178
40.47,35.0,42696.67,168.41,1,No,23,14,3,2016,6815.552699999999
56.39,40.0,73882.91,167.22,0,No,7,3,1,2016,9429.5358
85.62,25.0,50506.44,241.03,1,No,2,28,4,2016,20636.9886
42.04,52.0,73049.3,230.18,1,No,2,18,1,2016,9676.7672
59.22,40.0,73882.91,133.2,1,No,14,9,3,2016,7888.103999999999
36.73,31.0,59677.64,207.17,1,No,2,16,6,2016,7609.354099999999
48.46,25.0,50506.44,241.03,0,No,7,3,1,2016,11680.3138
80.99,26.0,68030.18,154.74,1,No,13,18,3,2016,12532.3926
80.3,29.0,69718.19,153.76,0,No,19,26,3,2016,12346.927999999998
85.62,25.0,50506.44,202.18,0,No,7,3,1,2016,17310.6516
89.0,51.0,74535.94,188.56,1,Yes,11,6,3,2016,16781.84
51.24,54.0,38609.2,182.2,0,No,20,31,3,2016,9335.928
44.78,26.0,56694.12,190.17,0,Yes,4,23,1,2016,8515.8126
43.49,31.0,59677.64,207.17,1,No,11,9,7,2016,9009.8233
78.7,33.0,57868.44,178.75,0,Yes,12,28,5,2016,14067.625
52.68,32.0,70505.06,172.83,0,No,22,28,4,2016,9104.6844
64.75,31.0,56180.93,135.18,0,No,7,3,1,2016,8752.905
71.14,31.0,51739.63,207.17,1,No,21,2,6,2016,14738.0738
55.6,24.0,52252.91,182.2,0,No,16,25,2,2016,10130.32
43.67,26.0,53336.76,259.76,0,No,18,8,3,2016,11343.7192
40.04,42.0,60514.05,238.58,0,Yes,14,19,5,2016,9552.7432
55.6,35.0,42993.48,236.87,0,Yes,15,7,4,2016,13169.972
65.65,30.0,57877.15,198.72,0,No,10,29,6,2016,13045.968
65.65,41.0,49850.52,219.94,0,No,20,5,1,2016,14439.061000000002
80.3,49.0,39031.89,195.69,1,Yes,20,4,4,2016,15713.907
80.31,45.0,32252.38,207.17,0,No,22,26,2,2016,16637.8227
60.23,44.0,65883.39,139.34,1,No,16,30,1,2016,8392.448199999999
79.54,41.0,57846.68,227.63,1,Yes,23,31,5,2016,18105.6902
82.07,38.0,57868.44,122.04,1,No,20,5,1,2016,10015.8228
79.52,41.0,57846.68,126.39,0,Yes,12,16,2,2016,10050.532799999999
55.6,39.0,35253.98,230.52,0,Yes,22,8,5,2016,12816.912
78.64,32.0,69481.85,230.18,1,Yes,21,9,6,2016,18101.3552
43.6,35.0,55121.65,204.79,1,No,11,9,7,2016,8928.844
80.3,52.0,33951.63,186.37,0,Yes,8,19,7,2016,14965.511
42.04,49.0,45632.51,113.8,0,Yes,16,5,2,2016,4784.152
40.04,28.0,67669.06,199.39,1,No,15,18,4,2016,7983.575599999999
41.73,31.0,61840.26,212.87,1,No,3,18,5,2016,8883.0651
82.07,22.0,73941.91,133.2,0,No,4,3,7,2016,10931.723999999998
45.99,33.0,61005.87,113.12,1,No,21,12,6,2016,5202.388800000001
56.39,29.0,69646.35,191.82,1,Yes,16,5,1,2016,10816.7298
43.49,37.0,58235.21,109.29,1,No,10,21,7,2016,4753.0221
35.61,35.0,25603.93,236.87,0,No,2,29,6,2016,8434.9407
86.06,32.0,69481.85,178.92,1,Yes,11,13,7,2016,15397.8552
47.48,29.0,69646.35,219.94,0,No,21,17,4,2016,10442.751199999999
68.88,23.0,55121.65,172.81,1,No,3,9,3,2016,11903.1528
37.0,30.0,57877.15,138.71,1,No,10,8,5,2016,5132.27
40.01,45.0,76480.16,137.24,1,Yes,17,10,7,2016,5490.9724
70.58,28.0,73207.15,230.52,0,Yes,12,27,2,2016,16270.1016
70.29,31.0,52178.98,240.64,1,No,14,21,6,2016,16914.585600000002
40.47,36.0,31281.01,222.25,1,No,8,20,6,2016,8994.4575
62.26,28.0,59457.52,187.76,1,No,6,26,2,2016,11689.9376
55.92,34.0,59785.94,160.03,0,Yes,4,27,4,2016,8948.8776
55.6,37.0,58235.21,109.29,1,No,2,26,1,2016,6076.524
41.73,28.0,67669.06,217.37,0,No,1,26,2,2016,9070.8501
78.84,35.0,23410.75,225.58,0,No,10,12,7,2016,17784.7272
54.88,22.0,67058.72,121.07,0,No,4,3,7,2016,6644.3216
80.47,38.0,57868.44,206.98,1,Yes,14,19,5,2016,16655.6806
60.23,43.0,57868.44,198.45,1,Yes,21,3,4,2016,11952.643499999998
51.87,46.0,66291.67,218.61,1,Yes,10,12,1,2016,11339.3007
88.12,26.0,53336.76,131.68,1,No,3,10,6,2016,11603.6416
43.49,28.0,53058.91,230.52,0,Yes,12,27,2,2016,10025.3148
40.17,26.0,62669.59,228.78,1,No,19,8,1,2016,9190.0926
69.62,34.0,34191.23,203.84,1,No,0,11,3,2016,14191.340800000002
55.6,27.0,36884.23,231.42,1,No,20,17,6,2016,12866.952
88.12,26.0,74903.41,228.78,1,No,6,5,1,2016,20160.0936
86.06,24.0,64698.58,161.16,1,No,16,3,1,2016,13869.4296
78.84,36.0,59240.24,222.25,0,No,4,12,4,2016,17522.190000000002
66.08,19.0,31215.88,133.2,0,No,4,3,7,2016,8801.856
